ts,n_opps,n_features,n_scores,n_accepts,gross_weight,active_symbols,port_ret_simple,equity_simple,port_ret,equity
2026-02-11 13:00:00+00:00,10,10,10,9,0.07,1,0.0008973187668522631,1016.4980068480468,0.0,1003.9905080679305
2026-02-11 14:00:00+00:00,10,10,10,8,0.07,1,7.42489096287602e-05,1016.5734807166951,0.0,1003.603476023697
2026-02-11 15:00:00+00:00,10,10,10,8,0.07,1,0.0005067131102297729,1017.0885918268863,0.0,1003.603476023697
2026-02-11 16:00:00+00:00,10,10,10,8,0.07,1,-0.0005101957338504471,1016.5696775663882,0.0,1004.0979646138061
2026-02-11 17:00:00+00:00,10,10,10,8,0.0,0,0.0,1016.5696775663882,0.0,1003.5896368939767
2026-02-11 18:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.5696775663882,0.0,1002.7970851944465
2026-02-11 19:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-11 20:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-11 21:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-11 22:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-11 23:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 00:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 01:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 02:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 03:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 04:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
