symbol,base,in_current_registry,binance_type,bitget_type,binance_active,bitget_active
NOT/USDT:USDT,NOT,False,swap,swap,True,True
NOW/USDT:USDT,NOW,False,swap,swap,True,True
NVDA/USDT:USDT,NVDA,False,swap,swap,True,True
NXPC/USDT:USDT,NXPC,False,swap,swap,True,True
OG/USDT:USDT,OG,False,swap,swap,True,True
OGN/USDT:USDT,OGN,False,swap,swap,True,True
ONDO/USDT:USDT,ONDO,False,swap,swap,True,True
ONDS/USDT:USDT,ONDS,False,swap,swap,True,True
ONE/USDT:USDT,ONE,False,swap,swap,True,True
ONG/USDT:USDT,ONG,False,swap,swap,True,True
ONT/USDT:USDT,ONT,False,swap,swap,True,True
OP/USDT:USDT,OP,False,swap,swap,True,True
OPEN/USDT:USDT,OPEN,False,swap,swap,True,True
OPENAI/USDT:USDT,OPENAI,False,swap,swap,True,True
OPG/USDT:USDT,OPG,False,swap,swap,True,True
OPN/USDT:USDT,OPN,False,swap,swap,True,True
ORCA/USDT:USDT,ORCA,False,swap,swap,True,True
ORCL/USDT:USDT,ORCL,False,swap,swap,True,True
ORDER/USDT:USDT,ORDER,False,swap,swap,True,True
ORDI/USDT:USDT,ORDI,False,swap,swap,True,True
PARTI/USDT:USDT,PARTI,False,swap,swap,True,True
PAXG/USDT:USDT,PAXG,False,swap,swap,True,True
PENDLE/USDT:USDT,PENDLE,False,swap,swap,True,True
PENGU/USDT:USDT,PENGU,False,swap,swap,True,True
PEOPLE/USDT:USDT,PEOPLE,False,swap,swap,True,True
PHA/USDT:USDT,PHA,False,swap,swap,True,True
PIEVERSE/USDT:USDT,PIEVERSE,False,swap,swap,True,True
PIPPIN/USDT:USDT,PIPPIN,False,swap,swap,True,True
PIXEL/USDT:USDT,PIXEL,False,swap,swap,True,True
PLTR/USDT:USDT,PLTR,False,swap,swap,True,True
PLUME/USDT:USDT,PLUME,False,swap,swap,True,True
PNUT/USDT:USDT,PNUT,False,swap,swap,True,True
POL/USDT:USDT,POL,False,swap,swap,True,True
POLYX/USDT:USDT,POLYX,False,swap,swap,True,True
POPCAT/USDT:USDT,POPCAT,False,swap,swap,True,True
POWER/USDT:USDT,POWER,False,swap,swap,True,True
POWR/USDT:USDT,POWR,False,swap,swap,True,True
PRL/USDT:USDT,PRL,False,swap,swap,True,True
PROM/USDT:USDT,PROM,False,swap,swap,True,True
PROVE/USDT:USDT,PROVE,False,swap,swap,True,True
PUMP/USDT:USDT,PUMP,False,swap,swap,True,True
PUNDIX/USDT:USDT,PUNDIX,False,swap,swap,True,True
PYTH/USDT:USDT,PYTH,False,swap,swap,True,True
Q/USDT:USDT,Q,False,swap,swap,True,True
QCOM/USDT:USDT,QCOM,False,swap,swap,True,True
QNT/USDT:USDT,QNT,False,swap,swap,True,True
QQQ/USDT:USDT,QQQ,False,swap,swap,True,True
QTUM/USDT:USDT,QTUM,False,swap,swap,True,True
RARE/USDT:USDT,RARE,False,swap,swap,True,True
RAVE/USDT:USDT,RAVE,False,swap,swap,True,True
RECALL/USDT:USDT,RECALL,False,swap,swap,True,True
RED/USDT:USDT,RED,False,swap,swap,True,True
RENDER/USDT:USDT,RENDER,False,swap,swap,True,True
RESOLV/USDT:USDT,RESOLV,False,swap,swap,True,True
REZ/USDT:USDT,REZ,False,swap,swap,True,True
RIVER/USDT:USDT,RIVER,False,swap,swap,True,True
RKLB/USDT:USDT,RKLB,False,swap,swap,True,True
ROBO/USDT:USDT,ROBO,False,swap,swap,True,True
ROSE/USDT:USDT,ROSE,False,swap,swap,True,True
RPL/USDT:USDT,RPL,False,swap,swap,True,True
RSR/USDT:USDT,RSR,False,swap,swap,True,True
RUNE/USDT:USDT,RUNE,False,swap,swap,True,True
RVN/USDT:USDT,RVN,False,swap,swap,True,True
S/USDT:USDT,S,False,swap,swap,True,True
SAFE/USDT:USDT,SAFE,False,swap,swap,True,True
SAHARA/USDT:USDT,SAHARA,False,swap,swap,True,True
SAMSUNG/USDT:USDT,SAMSUNG,False,swap,swap,True,True
SAND/USDT:USDT,SAND,False,swap,swap,True,True
SANTOS/USDT:USDT,SANTOS,False,swap,swap,True,True
SAPIEN/USDT:USDT,SAPIEN,False,swap,swap,True,True
SCRT/USDT:USDT,SCRT,False,swap,swap,True,True
SEI/USDT:USDT,SEI,False,swap,swap,True,True
SENT/USDT:USDT,SENT,False,swap,swap,True,True
SFP/USDT:USDT,SFP,False,swap,swap,True,True
SHELL/USDT:USDT,SHELL,False,swap,swap,True,True
SIGN/USDT:USDT,SIGN,False,swap,swap,True,True
SIREN/USDT:USDT,SIREN,False,swap,swap,True,True
SKHYNIX/USDT:USDT,SKHYNIX,False,swap,swap,True,True
SKL/USDT:USDT,SKL,False,swap,swap,True,True
SKR/USDT:USDT,SKR,False,swap,swap,True,True
SKY/USDT:USDT,SKY,False,swap,swap,True,True
SKYAI/USDT:USDT,SKYAI,False,swap,swap,True,True
SLP/USDT:USDT,SLP,False,swap,swap,True,True
SLX/USDT:USDT,SLX,False,swap,swap,True,True
SNDK/USDT:USDT,SNDK,False,swap,swap,True,True
SNX/USDT:USDT,SNX,False,swap,swap,True,True
SOL/USDT:USDT,SOL,False,swap,swap,True,True
SOMI/USDT:USDT,SOMI,False,swap,swap,True,True
SONIC/USDT:USDT,SONIC,False,swap,swap,True,True
SOON/USDT:USDT,SOON,False,swap,swap,True,True
SOPH/USDT:USDT,SOPH,False,swap,swap,True,True
SOXL/USDT:USDT,SOXL,False,swap,swap,True,True
SPACE/USDT:USDT,SPACE,False,swap,swap,True,True
SPCX/USDT:USDT,SPCX,False,swap,swap,True,True
SPELL/USDT:USDT,SPELL,False,swap,swap,True,True
SPK/USDT:USDT,SPK,False,swap,swap,True,True
SPX/USDT:USDT,SPX,False,swap,swap,True,True
SPY/USDT:USDT,SPY,False,swap,swap,True,True
SQD/USDT:USDT,SQD,False,swap,swap,True,True
SSV/USDT:USDT,SSV,False,swap,swap,True,True
STABLE/USDT:USDT,STABLE,False,swap,swap,True,True
STBL/USDT:USDT,STBL,False,swap,swap,True,True
STEEM/USDT:USDT,STEEM,False,swap,swap,True,True
STG/USDT:USDT,STG,False,swap,swap,True,True
STO/USDT:USDT,STO,False,swap,swap,True,True
STORJ/USDT:USDT,STORJ,False,swap,swap,True,True
STRK/USDT:USDT,STRK,False,swap,swap,True,True
STX/USDT:USDT,STX,False,swap,swap,True,True
SUI/USDT:USDT,SUI,False,swap,swap,True,True
SUN/USDT:USDT,SUN,False,swap,swap,True,True
SUPER/USDT:USDT,SUPER,False,swap,swap,True,True
SUSHI/USDT:USDT,SUSHI,False,swap,swap,True,True
SXT/USDT:USDT,SXT,False,swap,swap,True,True
SYN/USDT:USDT,SYN,False,swap,swap,True,True
SYRUP/USDT:USDT,SYRUP,False,swap,swap,True,True
T/USDT:USDT,T,False,swap,swap,True,True
TAC/USDT:USDT,TAC,False,swap,swap,True,True
TAG/USDT:USDT,TAG,False,swap,swap,True,True
TAIKO/USDT:USDT,TAIKO,False,swap,swap,True,True
TAO/USDT:USDT,TAO,False,swap,swap,True,True
THE/USDT:USDT,THE,False,swap,swap,True,True
THETA/USDT:USDT,THETA,False,swap,swap,True,True
TIA/USDT:USDT,TIA,False,swap,swap,True,True
TLM/USDT:USDT,TLM,False,swap,swap,True,True
TNSR/USDT:USDT,TNSR,False,swap,swap,True,True
TON/USDT:USDT,TON,False,swap,swap,True,True
TOSHI/USDT:USDT,TOSHI,False,swap,swap,True,True
TOWNS/USDT:USDT,TOWNS,False,swap,swap,True,True
TRADOOR/USDT:USDT,TRADOOR,False,swap,swap,True,True
TRB/USDT:USDT,TRB,False,swap,swap,True,True
TREE/USDT:USDT,TREE,False,swap,swap,True,True
TRIA/USDT:USDT,TRIA,False,swap,swap,True,True
TRUMP/USDT:USDT,TRUMP,False,swap,swap,True,True
TRUST/USDT:USDT,TRUST,False,swap,swap,True,True
TSLA/USDT:USDT,TSLA,False,swap,swap,True,True
TSM/USDT:USDT,TSM,False,swap,swap,True,True
TURBO/USDT:USDT,TURBO,False,swap,swap,True,True
TUT/USDT:USDT,TUT,False,swap,swap,True,True
UAI/USDT:USDT,UAI,False,swap,swap,True,True
UB/USDT:USDT,UB,False,swap,swap,True,True
UMA/USDT:USDT,UMA,False,swap,swap,True,True
UNI/USDT:USDT,UNI,False,swap,swap,True,True
US/USDT:USDT,US,False,swap,swap,True,True
USAR/USDT:USDT,USAR,False,swap,swap,True,True
USDC/USDT:USDT,USDC,False,swap,swap,True,True
USELESS/USDT:USDT,USELESS,False,swap,swap,True,True
USTC/USDT:USDT,USTC,False,swap,swap,True,True
USUAL/USDT:USDT,USUAL,False,swap,swap,True,True
VANA/USDT:USDT,VANA,False,swap,swap,True,True
VANRY/USDT:USDT,VANRY,False,swap,swap,True,True
VELODROME/USDT:USDT,VELODROME,False,swap,swap,True,True
VELVET/USDT:USDT,VELVET,False,swap,swap,True,True
VET/USDT:USDT,VET,False,swap,swap,True,True
VIRTUAL/USDT:USDT,VIRTUAL,False,swap,swap,True,True
VTHO/USDT:USDT,VTHO,False,swap,swap,True,True
VVV/USDT:USDT,VVV,False,swap,swap,True,True
